title,research_area,authors,image_file
Facial Expression Recognition and Modeling for Virtual Intelligent Tutoring Systems,Computer Vision,"[{'name': 'Homero V. Ríos', 'institution': 'Laboratorio Nacional de Informática Avanzada, A.C.', 'subunit': '', 'location': 'Xalapa, Veracruz, México', 'full_affiliation': 'Laboratorio Nacional de Informática Avanzada, A.C. Rébsamen 80, c.p. 91090, Xalapa, Veracruz, México'}, {'name': 'Ana Luisa Solís', 'institution': 'Universidad Nacional Autónoma de México', 'subunit': 'Departamento de Matemáticas, Facultad de Ciencias', 'location': '', 'full_affiliation': 'Departamento de Matemáticas, Facultad de Ciencias, Universidad Nacional Autónoma de México'}, {'name': 'Emilio Aguirre', 'institution': 'Laboratorio Nacional de Informática Avanzada, A.C.', 'subunit': '', 'location': 'Xalapa, Veracruz, México', 'full_affiliation': 'Laboratorio Nacional de Informática Avanzada, A.C. Rébsamen 80, c.p. 91090, Xalapa, Veracruz, México'}, {'name': 'Lourdes Guerrero', 'institution': 'Universidad Nacional Autónoma de México', 'subunit': 'Departamento de Matemáticas, Facultad de Ciencias', 'location': '', 'full_affiliation': 'Departamento de Matemáticas, Facultad de Ciencias, Universidad Nacional Autónoma de México'}, {'name': 'Joaquín Peña', 'institution': 'Laboratorio Nacional de Informática Avanzada, A.C.', 'subunit': '', 'location': 'Xalapa, Veracruz, México', 'full_affiliation': 'Laboratorio Nacional de Informática Avanzada, A.C. Rébsamen 80, c.p. 91090, Xalapa, Veracruz, México'}, {'name': 'Alberto Santamaría', 'institution': 'Laboratorio Nacional de Informática Avanzada, A.C.', 'subunit': '', 'location': 'Xalapa, Veracruz, México', 'full_affiliation': 'Laboratorio Nacional de Informática Avanzada, A.C. Rébsamen 80, c.p. 91090, Xalapa, Veracruz, México'}]",2000_001_0010.png
Detection and Tracking of Facial Features in Video Sequences,Computer Vision,"[{'name': 'Rogério Schmidt Feris', 'institution': 'University of São Paulo', 'subunit': 'CreatiVision - Creative Vision Research Group, Department of Computer Science, DCC-IME-USP', 'location': 'São Paulo, SP, Brazil', 'full_affiliation': 'CreatiVision - Creative Vision Research Group\nDepartment of Computer Science\nDCC-IME-USP, University of São Paulo\nRua do Matão, 1010, São Paulo, SP, 05508-900, Brazil'}, {'name': 'Teófilo Emídio de Campos', 'institution': 'University of São Paulo', 'subunit': 'CreatiVision - Creative Vision Research Group, Department of Computer Science, DCC-IME-USP', 'location': 'São Paulo, SP, Brazil', 'full_affiliation': 'CreatiVision - Creative Vision Research Group\nDepartment of Computer Science\nDCC-IME-USP, University of São Paulo\nRua do Matão, 1010, São Paulo, SP, 05508-900, Brazil'}, {'name': 'Roberto Marcondes Cesar Junior', 'institution': 'University of São Paulo', 'subunit': 'CreatiVision - Creative Vision Research Group, Department of Computer Science, DCC-IME-USP', 'location': 'São Paulo, SP, Brazil', 'full_affiliation': 'CreatiVision - Creative Vision Research Group\nDepartment of Computer Science\nDCC-IME-USP, University of São Paulo\nRua do Matão, 1010, São Paulo, SP, 05508-900, Brazil'}]",2000_001_0011.png
An Application of Behavior-Based Architecture for Mobile Robots Design,Robotics,"[{'name': 'Sergio Uribe-Gutierrez', 'institution': 'ITESM', 'subunit': 'Centro de Inteligencia Artificial, Campus Monterrey', 'location': 'Monterrey, N.L., MEXICO', 'full_affiliation': 'Centro de Inteligencia Artificial, ITESM Campus Monterrey, Ave. Eugenio Garza Sada 2501, Monterrey, N.L. 64849 MEXICO'}, {'name': 'Horacio Martinez-Alfaro', 'institution': 'ITESM', 'subunit': 'Centro de Inteligencia Artificial, Campus Monterrey', 'location': 'Monterrey, N.L., MEXICO', 'full_affiliation': 'Centro de Inteligencia Artificial, ITESM Campus Monterrey, Ave. Eugenio Garza Sada 2501, Monterrey, N.L. 64849 MEXICO'}]",2000_001_0012.png
Cooperative Simulated Annealing for Path Planning in Multi-robot Systems,Robotics,"[{'name': 'Gildardo Sánchez-Ante', 'institution': 'ITESM', 'subunit': 'Department of Computer Science, Campus Morelos', 'location': 'Cuernavaca, Morelos, MEXICO', 'full_affiliation': 'Department of Computer Science\nITESM Campus Morelos\nAv. Paseo de la Reforma 182-A\nCuernavaca, Morelos, 62589\nMEXICO'}, {'name': 'Fernando Ramos', 'institution': 'ITESM', 'subunit': 'Department of Computer Science, Campus Morelos', 'location': 'Cuernavaca, Morelos, MEXICO', 'full_affiliation': 'Department of Computer Science\nITESM Campus Morelos\nAv. Paseo de la Reforma 182-A\nCuernavaca, Morelos, 62589\nMEXICO'}, {'name': 'Juan Frausto', 'institution': 'ITESM', 'subunit': 'Department of Computer Science, Campus Morelos', 'location': 'Cuernavaca, Morelos, MEXICO', 'full_affiliation': 'Department of Computer Science\nITESM Campus Morelos\nAv. Paseo de la Reforma 182-A\nCuernavaca, Morelos, 62589\nMEXICO'}]",2000_001_0013.png
Learning Probabilistic Grid-Based Maps for Indoor Mobile Robots Using Ultrasonic and Laser Range Sensors,Robotics,"[{'name': 'Leonardo Romero', 'institution': 'ITESM', 'subunit': 'Campus Morelos', 'location': 'Temixco, Morelos, Mexico', 'full_affiliation': 'ITESM, Campus Morelos, Temixco, Morelos, 62589, Mexico'}, {'name': 'Eduardo Morales', 'institution': 'ITESM', 'subunit': 'Campus Morelos', 'location': 'Temixco, Morelos, Mexico', 'full_affiliation': 'ITESM, Campus Morelos, Temixco, Morelos, 62589, Mexico'}, {'name': 'Enrique Sucar', 'institution': 'ITESM', 'subunit': 'Campus Morelos', 'location': 'Temixco, Morelos, Mexico', 'full_affiliation': 'ITESM, Campus Morelos, Temixco, Morelos, 62589, Mexico'}]",2000_001_0014.png
Evolving Insect Locomotion Using Cooperative Genetic Programming,Bio-inspired & Evolutionary Computing,"[{'name': 'Edgar E. Vallejo', 'institution': 'ITESM', 'subunit': 'Computer Science Department, Campus Estado de México', 'location': 'Atizapán, Edo. México, México', 'full_affiliation': 'Computer Science Department, ITESM Campus Estado de México Apdo. Postal 50, Módulo de Servicio Postal Campus Estado de México del ITESM, 52926 Atizapán, Edo. México, México'}, {'name': 'Fernando Ramos', 'institution': 'ITESM', 'subunit': 'Graduate School of Informatics, Campus Morelos', 'location': 'Cuernavaca, Morelos, México', 'full_affiliation': 'Graduate School of Informatics, ITESM Campus Morelos Ave. Paseo de la Reforma 182 Col. Lomas de Cuernavaca, 62589 Cuernavaca, Morelos, México'}]",2000_001_0015.png
On the Minimal Cooperative Attitude in Multi-robotics Systems,Robotics,"[{'name': 'Giovani Gómez', 'institution': 'ITESM', 'subunit': 'Department of Computer Science, Campus Morelos', 'location': 'Cuernavaca, Morelos, México', 'full_affiliation': 'Department of Computer Science. ITESM Campus Morelos. Ap. Postal C-99 62050, Cuernavaca, Morelos. México.'}, {'name': 'Fernando Ramos', 'institution': 'ITESM', 'subunit': 'Department of Computer Science, Campus Morelos', 'location': 'Cuernavaca, Morelos, México', 'full_affiliation': 'Department of Computer Science. ITESM Campus Morelos. Ap. Postal C-99 62050, Cuernavaca, Morelos. México.'}]",2000_001_0016.png
Eigenfaces Versus Eigeneyes: First Steps Toward Performance Assessment of Representations for Face Recognition,Computer Vision,"[{'name': 'Teófilo Emídio de Campos', 'institution': 'University of São Paulo', 'subunit': 'CreatiVision - Creativision Research Group, Department of Computer Science, DCC-IME-USP', 'location': 'São Paulo, SP, Brazil', 'full_affiliation': 'CreatiVision - Creativision Research Group, Department of Computer Science, DCC-IME-USP, University of São Paulo, Rua do Matão, 1010, São Paulo, SP, 05508-900, Brazil'}, {'name': 'Rogério Schmidt Feris', 'institution': 'University of São Paulo', 'subunit': 'CreatiVision - Creativision Research Group, Department of Computer Science, DCC-IME-USP', 'location': 'São Paulo, SP, Brazil', 'full_affiliation': 'CreatiVision - Creativision Research Group, Department of Computer Science, DCC-IME-USP, University of São Paulo, Rua do Matão, 1010, São Paulo, SP, 05508-900, Brazil'}, {'name': 'Roberto Marcondes Cesar Junior', 'institution': 'University of São Paulo', 'subunit': 'CreatiVision - Creativision Research Group, Department of Computer Science, DCC-IME-USP', 'location': 'São Paulo, SP, Brazil', 'full_affiliation': 'CreatiVision - Creativision Research Group, Department of Computer Science, DCC-IME-USP, University of São Paulo, Rua do Matão, 1010, São Paulo, SP, 05508-900, Brazil'}]",2000_001_0017.png
A Neurocontrol Scheme of a 2-DOF Manipulator Using CMAC,Neural Networks & Deep Learning,"[{'name': 'Raúl Leal Ascencio', 'institution': 'Instituto Tecnológico de Estudios Superiores de Occidente, ITESO', 'subunit': 'Depto. de Electrónica, Sistemas e Informática', 'location': 'Tlaquepaque Jal., México', 'full_affiliation': 'Depto. de Electrónica, Sistemas e Informática\nInstituto Tecnológico de Estudios Superiores de Occidente, ITESO,\nTlaquepaque Jal., 45090, México'}, {'name': 'Marco Perez Cisneros', 'institution': 'Instituto Tecnológico de Estudios Superiores de Occidente, ITESO', 'subunit': 'Depto. de Electrónica, Sistemas e Informática', 'location': 'Tlaquepaque Jal., México', 'full_affiliation': 'Depto. de Electrónica, Sistemas e Informática\nInstituto Tecnológico de Estudios Superiores de Occidente, ITESO,\nTlaquepaque Jal., 45090, México'}]",2000_001_0018.png
A New Approach for the Solution of Multiple Objective Optimization Problems Based on Reinforcement Learning,Reinforcement Learning,"[{'name': 'Carlos Mariano', 'institution': 'Instituto Mexicano de Tecnología del Agua', 'subunit': '', 'location': 'Jiutepec, Morelos, Mexico', 'full_affiliation': 'Instituto Mexicano de Tecnología del Agua, Paseo Cuauhnáhuac 8532, Jiutepec, Morelos, 62550, Mexico.'}, {'name': 'Eduardo Morales', 'institution': 'ITESM', 'subunit': 'Campus Morelos', 'location': 'Temixco, Morelos, Mexico', 'full_affiliation': 'ITESM – Campus Morelos, Paseo de la Reforma 182-A, Temixco, Morelos, 62589, Mexico,'}]",2000_001_0019.png
Automatic Extraction of Logic Program Transformations from Examples,Knowledge Representation & Reasoning,"[{'name': 'Wamberto Weber-Vasconcelos', 'institution': 'Universidade Estadual do Ceará', 'subunit': 'Departmento de Estatística e Computação', 'location': 'Ceará, Brazil', 'full_affiliation': 'Departmento de Estatística e Computação, Universidade Estadual do Ceará, Ceará, Brazil'}, {'name': 'Marcelo A.T. Aragão', 'institution': 'Banco Central do Brasil', 'subunit': 'Departmento de Informática', 'location': 'Brasília, Brazil', 'full_affiliation': 'Departmento de Informática, Banco Central do Brasil, Brasília, Brazil'}]",2000_001_0020.png
Modifications to the Credit Apportionment Mechanism of a Simple Classifier System,Bio-inspired & Evolutionary Computing,"[{'name': 'Carlos Zozaya-Gorostiza', 'institution': 'Instituto Tecnológico Autónomo de México', 'subunit': 'División Académica de Ingeniería', 'location': 'México D.F., México', 'full_affiliation': 'Instituto Tecnológico Autónomo de México, División Académica de Ingeniería, Río Hondo # 1, México D.F. 01000, México'}, {'name': 'David R. Orellana-Moyao', 'institution': 'Instituto Tecnológico Autónomo de México', 'subunit': 'División Académica de Ingeniería', 'location': 'México D.F., México', 'full_affiliation': 'Instituto Tecnológico Autónomo de México, División Académica de Ingeniería, Río Hondo # 1, México D.F. 01000, México'}]",2000_001_0021.png
A Framework for Interleaving Planning-while-Learning and Execution,Knowledge Representation & Reasoning,"[{'name': 'Marcello Balduccini', 'institution': ""Università degli Studi dell'Insubria"", 'subunit': 'Centro di Ricerca “Informatica Interattiva”', 'location': 'Varese, Italy', 'full_affiliation': ""Centro di Ricerca “Informatica Interattiva”\nUniversità degli Studi dell'Insubria\nvia Ravasi 2, I-21100 Varese (Italy)""}]",2000_001_0022.png
Integrated Reinforcement and Evolutionary Learning Algorithm: Application to Alife in a Shared World,Bio-inspired & Evolutionary Computing,"[{'name': 'Jianjun Yan', 'institution': 'Utsunomiya University', 'subunit': 'Computer Science Department, Faculty of Engineering', 'location': 'Utsunomiya, Japan', 'full_affiliation': 'Computer Science Department, Faculty of Engineering, Utsunomiya University, Utsunomiya 321-8585, Japan'}, {'name': 'Naoyuki Tokuda', 'institution': 'Utsunomiya University', 'subunit': 'Computer Science Department, Faculty of Engineering', 'location': 'Utsunomiya, Japan', 'full_affiliation': 'Computer Science Department, Faculty of Engineering, Utsunomiya University, Utsunomiya 321-8585, Japan'}, {'name': 'Juichi Miyamichi', 'institution': 'Utsunomiya University', 'subunit': 'Computer Science Department, Faculty of Engineering', 'location': 'Utsunomiya, Japan', 'full_affiliation': 'Computer Science Department, Faculty of Engineering, Utsunomiya University, Utsunomiya 321-8585, Japan'}]",2000_001_0023.png
RuLess: A Method for the Acquisition and Simplification of Rules,Hybrid AI & Expert Systems,"[{'name': 'Pablo R. de Buen Rodriguez', 'institution': 'Instituto de Investigaciones Eléctricas', 'subunit': '', 'location': 'Temixco, Mor., Mexico', 'full_affiliation': 'Instituto de Investigaciones Eléctricas, Av. Paseo de la Reforma 113, Temixco, Mor., 62490, Mexico; Tel. (7)318-38-11 ext.7797; Fax: (7)318-25-38; debuen@iie.org.mx'}, {'name': 'Eduardo F. Morales', 'institution': 'ITESM', 'subunit': 'Campus Morelos', 'location': 'Temixco, Mor., Mexico', 'full_affiliation': 'ITESM - Campus Morelos, Av. Paseo de la Reforma 182-A, Temixco, Mor., 62589, Mexico; emorales@campus.mor.itesm.mx'}, {'name': 'Sunil Vadera', 'institution': 'University of Salford', 'subunit': 'Department of Computer and Mathematical Sciences', 'location': 'Salford, UK', 'full_affiliation': 'Department of Computer and Mathematical Sciences, University of Salford, Salford, M5 4WT, UK; S.Vadera@cms.salford.ac.uk'}]",2000_001_0024.png
"Applying Reinforcement Learning to Improve MCOE, an Intelligent Learning Environment for Ecology",Reinforcement Learning,"[{'name': 'Daniel Antonio Callegari', 'institution': 'Pontifícia Universidade Católica do Rio Grande do Sul - PUCRS', 'subunit': 'Programa de Pós-Graduação em Ciência da Computação', 'location': 'Porto Alegre, RS, Brazil', 'full_affiliation': 'Pontifícia Universidade Católica do Rio Grande do Sul - PUCRS\nPrograma de Pós-Graduação em Ciência da Computação,\nAv. Ipiranga 6681 - prédio 16, Porto Alegre, RS - Brazil - 90610-900'}, {'name': 'Flávio Moreira de Oliveira', 'institution': 'Pontifícia Universidade Católica do Rio Grande do Sul - PUCRS', 'subunit': 'Programa de Pós-Graduação em Ciência da Computação', 'location': 'Porto Alegre, RS, Brazil', 'full_affiliation': 'Pontifícia Universidade Católica do Rio Grande do Sul - PUCRS\nPrograma de Pós-Graduação em Ciência da Computação,\nAv. Ipiranga 6681 - prédio 16, Porto Alegre, RS - Brazil - 90610-900'}]",2000_001_0025.png
Rapid Fine-Tuning of Computationally Intensive Classifiers,Supervised Machine Learning,"[{'name': 'Stefan Zemke', 'institution': 'Stockholm University/KTH', 'subunit': 'Department of Computer and Systems Sciences', 'location': 'Kista, Sweden', 'full_affiliation': 'Department of Computer and Systems Sciences\nStockholm University/KTH, Electrum 230, 164 40 Kista, Sweden'}]",2000_001_0026.png
Applying One-Sided Selection to Unbalanced Datasets,Supervised Machine Learning,"[{'name': 'Gustavo E.A.P.A. Batista', 'institution': 'Universidade de São Paulo', 'subunit': 'Instituto de Ciências Matemáticas de São Carlos | Silicon Graphics Brasil', 'location': 'São Carlos, SP, Brasil', 'full_affiliation': 'Instituto de Ciências Matemáticas de São Carlos, Universidade de São Paulo. Silicon Graphics Brasil.'}, {'name': 'Andre C.P.L.F. Carvalho', 'institution': 'Universidade de São Paulo', 'subunit': 'Instituto de Ciências Matemáticas de São Carlos', 'location': 'São Carlos, SP, Brasil', 'full_affiliation': 'Instituto de Ciências Matemáticas de São Carlos, Universidade de São Paulo.'}, {'name': 'Maria Carolina Monard', 'institution': 'Universidade de São Paulo', 'subunit': 'Instituto de Ciências Matemáticas de São Carlos/ILTC', 'location': 'São Carlos, SP, Brasil', 'full_affiliation': 'Instituto de Ciências Matemáticas de São Carlos, Universidade de São Paulo/ILTC. Av. Carlos Botelho, 1465. Caixa Postal 668. CEP 13560-970. São Carlos - SP. Brasil.'}]",2000_001_0027.png
NSL/ASL: Distributed Simulation of Modular Neural Networks,Neural Networks & Deep Learning,"[{'name': 'Alfredo Weitzenfeld', 'institution': 'Instituto Tecnológico Autónomo de México (ITAM)', 'subunit': 'Departamento Académico de Computación', 'location': 'México DF, MEXICO', 'full_affiliation': 'Departamento Académico de Computación\nInstituto Tecnológico Autónomo de México (ITAM)\nRío Hondo #1, San Angel Tizapán, CP 01000\nMéxico DF, MEXICO'}, {'name': 'Oscar Peguero', 'institution': 'Instituto Tecnológico Autónomo de México (ITAM)', 'subunit': 'Departamento Académico de Computación', 'location': 'México DF, MEXICO', 'full_affiliation': 'Departamento Académico de Computación\nInstituto Tecnológico Autónomo de México (ITAM)\nRío Hondo #1, San Angel Tizapán, CP 01000\nMéxico DF, MEXICO'}, {'name': 'Sebastián Gutiérrez', 'institution': 'Instituto Tecnológico Autónomo de México (ITAM)', 'subunit': 'Departamento Académico de Computación', 'location': 'México DF, MEXICO', 'full_affiliation': 'Departamento Académico de Computación\nInstituto Tecnológico Autónomo de México (ITAM)\nRío Hondo #1, San Angel Tizapán, CP 01000\nMéxico DF, MEXICO'}]",2000_001_0028.png
Dynamical Behavior of an Electronic Neuron of Commutation,Neural Networks & Deep Learning,"[{'name': 'A. Padrón', 'institution': 'UNAM', 'subunit': 'Laboratorio de Ingeniería Neuronal, Centro de Instrumentos', 'location': 'Coyoacán, México D.F., México', 'full_affiliation': 'Laboratorio de Ingeniería Neuronal, Centro de Instrumentos - UNAM Apartado Postal 70 - 186, Coyoacán, C. P. 04510, México D.F.'}, {'name': 'J. L. Pérez', 'institution': 'UNAM', 'subunit': 'Laboratorio de Ingeniería Neuronal, Centro de Instrumentos', 'location': 'Coyoacán, México D.F., México', 'full_affiliation': 'Laboratorio de Ingeniería Neuronal, Centro de Instrumentos - UNAM Apartado Postal 70 - 186, Coyoacán, C. P. 04510, México D.F.'}, {'name': 'A. Herrera', 'institution': 'UNAM', 'subunit': 'Laboratorio de Ingeniería Neuronal, Centro de Instrumentos', 'location': 'Coyoacán, México D.F., México', 'full_affiliation': 'Laboratorio de Ingeniería Neuronal, Centro de Instrumentos - UNAM Apartado Postal 70 - 186, Coyoacán, C. P. 04510, México D.F.'}, {'name': 'R. Prieto', 'institution': 'UNAM', 'subunit': 'Laboratorio de Ingeniería Neuronal, Centro de Instrumentos', 'location': 'Coyoacán, México D.F., México', 'full_affiliation': 'Laboratorio de Ingeniería Neuronal, Centro de Instrumentos - UNAM Apartado Postal 70 - 186, Coyoacán, C. P. 04510, México D.F.'}]",2000_001_0029.png
